amount.sum,amount_type.code,demarcation.code,financial_year_end.year
389909955.0,ADJB,DC23,2021
393062808.0,AUDA,DC23,2021
364506140.0,ADJB,DC23,2022
140506698.0,AUDA,DC23,2022
371732988.0,ADJB,DC23,2023
146479612.0,AUDA,DC23,2023
473741002.0,ADJB,DC23,2024
190878713.0,AUDA,DC23,2024
570035911.0,ADJB,DC24,2020
688055321.0,AUDA,DC24,2020
383939300.0,ADJB,DC24,2021
857624328.0,AUDA,DC24,2021
489227790.0,ADJB,DC24,2022
1079840825.0,AUDA,DC24,2022
448640596.0,ADJB,DC24,2023
1318181504.0,AUDA,DC24,2023
352089683.0,ADJB,DC24,2024
1640253365.0,AUDA,DC24,2024
137599805.0,ADJB,DC25,2020
149696783.0,ADJB,DC25,2021
215105943.0,AUDA,DC25,2021
242165130.0,ADJB,DC25,2022
296437320.0,AUDA,DC25,2022
138628747.0,ADJB,DC25,2023
388271064.0,AUDA,DC25,2023
120517391.0,ADJB,DC25,2024
391362196.0,AUDA,DC25,2024
569396436.0,ADJB,DC26,2020
575527321.0,AUDA,DC26,2020
538983944.0,ADJB,DC26,2021
504927163.0,AUDA,DC26,2021
689462751.0,ADJB,DC26,2022
717029829.0,AUDA,DC26,2022
692930117.0,ADJB,DC26,2023
736188165.0,AUDA,DC26,2023
928120180.0,ADJB,DC26,2024
941616589.0,AUDA,DC26,2024
371652806.0,ADJB,DC27,2020
2624584371.0,AUDA,DC27,2020
387117823.0,ADJB,DC27,2021
2808330899.0,AUDA,DC27,2021
406630641.0,ADJB,DC27,2022
334226436.0,ADJB,DC27,2023
3053412703.0,AUDA,DC27,2023
307057696.0,ADJB,DC27,2024
3265315862.0,AUDA,DC27,2024
737647285.0,ADJB,DC28,2020
576253378.0,AUDA,DC28,2020
535075739.0,ADJB,DC28,2021
527797833.0,AUDA,DC28,2021
542123953.0,ADJB,DC28,2022
493343323.0,AUDA,DC28,2022
772441521.0,ADJB,DC28,2023
669706521.0,AUDA,DC28,2023
768396864.0,ADJB,DC28,2024
716092637.0,AUDA,DC28,2024
471465044.0,ADJB,DC29,2020
216461582.0,AUDA,DC29,2020
400191256.0,ADJB,DC29,2021
426289471.0,AUDA,DC29,2021
458294155.0,ADJB,DC29,2022
456787019.0,AUDA,DC29,2022
575967969.0,ADJB,DC29,2023
509072868.0,AUDA,DC29,2023
697678838.0,ADJB,DC29,2024
492145117.0,AUDA,DC29,2024
118318626.0,ADJB,DC3,2020
94264104.0,AUDA,DC3,2020
17599518.0,ADJB,DC3,2021
17450867.0,AUDA,DC3,2021
22808897.0,ADJB,DC3,2022
22202051.0,AUDA,DC3,2022
28896491.0,ADJB,DC3,2023
12989965.0,AUDA,DC3,2023
31208303.0,ADJB,DC3,2024
29728334.0,AUDA,DC3,2024
71812253.0,ADJB,DC30,2020
104541672.0,AUDA,DC30,2020
63017752.0,ADJB,DC30,2021
63549922.0,AUDA,DC30,2021
54119590.0,ADJB,DC30,2022
54592935.0,AUDA,DC30,2022
58060362.0,ADJB,DC30,2023
52445562.0,AUDA,DC30,2023
97570977.0,ADJB,DC30,2024
100225913.0,AUDA,DC30,2024
87362994.0,ADJB,DC31,2020
75533766.0,AUDA,DC31,2020
76597185.0,ADJB,DC31,2021
68127700.0,AUDA,DC31,2021
83133526.0,ADJB,DC31,2022
49063279.0,AUDA,DC31,2022
92236921.0,ADJB,DC31,2023
75288196.0,AUDA,DC31,2023
113838284.0,ADJB,DC31,2024
81766594.0,AUDA,DC31,2024
42113744.0,ADJB,DC32,2020
25420551.0,AUDA,DC32,2020
47188242.0,ADJB,DC32,2021
23691910.0,AUDA,DC32,2021
60436323.0,ADJB,DC32,2022
25899177.0,AUDA,DC32,2022
65273369.0,ADJB,DC32,2023
31295994.0,AUDA,DC32,2023
160719142.0,ADJB,DC32,2024
39992092.0,AUDA,DC32,2024
776082054.0,ADJB,DC33,2020
748395072.0,AUDA,DC33,2020
1154884873.0,ADJB,DC33,2021
1081437502.0,AUDA,DC33,2021
860291175.0,ADJB,DC33,2022
765314527.0,AUDA,DC33,2022
878901888.0,ADJB,DC33,2023
933367386.0,AUDA,DC33,2023
884025613.0,ADJB,DC33,2024
1295701622.0,AUDA,DC33,2024
782812859.0,ADJB,DC34,2020
771399617.0,AUDA,DC34,2020
1105954688.0,ADJB,DC34,2021
858122978.0,AUDA,DC34,2021
1031415631.0,ADJB,DC34,2022
955290405.0,AUDA,DC34,2022
1008944471.0,ADJB,DC34,2023
960519372.0,AUDA,DC34,2023
1200644509.0,ADJB,DC34,2024
994179336.0,AUDA,DC34,2024
469604871.0,ADJB,DC35,2020
570305491.0,AUDA,DC35,2020
521173000.0,ADJB,DC35,2021
465024057.0,AUDA,DC35,2021
