amount.sum,demarcation.code,financial_year_end.year
117027011.0,NW374,2023
68180421.0,NW374,2024
64673260.0,NW375,2020
292887025.0,NW375,2021
541809158.0,NW375,2022
1266889011.0,NW375,2023
1515803253.0,NW375,2024
306621285.0,NW381,2020
365008541.0,NW381,2021
365008541.0,NW381,2022
28899898.0,NW381,2024
873588.0,NW382,2020
-123148456.0,NW382,2021
-79142980.0,NW382,2022
-148312752.0,NW382,2023
-225826490.0,NW382,2024
2075487551.0,NW383,2020
149090470.0,NW383,2021
717676301.0,NW383,2022
1017933486.0,NW383,2023
1071671026.0,NW383,2024
1123203253.0,NW384,2021
2066981799.0,NW384,2023
3098709776.0,NW384,2024
15571679.0,NW385,2020
16779026.0,NW385,2021
7514126.0,NW385,2022
54263425.0,NW392,2020
204070222.0,NW392,2021
221949049.0,NW392,2022
203764312.0,NW392,2023
81380979.0,NW392,2024
69918899.0,NW393,2020
54240790.0,NW393,2021
96228444.0,NW393,2022
72795740.0,NW393,2024
103550894.0,NW394,2020
373601218.0,NW394,2021
197080586.0,NW394,2022
170723530.0,NW394,2023
486564.0,NW396,2020
358397.0,NW396,2021
-2123212.0,NW396,2022
-68024641.0,NW396,2023
-84831562.0,NW396,2024
-32965411.0,NW397,2020
-16007825.0,NW397,2021
-344700.0,NW397,2022
1314322.0,NW397,2023
28053818.0,NW397,2024
2026306899.0,NW403,2020
2026883450.0,NW403,2021
2249322991.0,NW403,2022
1841374798.0,NW403,2023
2833541749.0,NW403,2024
16729580.0,NW404,2020
320938452.0,NW404,2021
411834124.0,NW404,2022
410764161.0,NW404,2023
1104033266.0,NW404,2024
225512844.0,NW405,2020
552187303.0,NW405,2021
-1213459009.0,NW405,2022
-1784387494.0,NW405,2023
154759711.0,NW405,2024
-59276474.0,TSH,2020
-32299801.0,TSH,2023
79869581301.0,TSH,2024
31478186.0,WC011,2020
15256258.0,WC011,2021
-210382575.0,WC011,2022
53755104.0,WC011,2023
-153153710.0,WC011,2024
7181526.0,WC012,2020
-29978439.0,WC012,2021
184966992.0,WC012,2022
148125708.0,WC012,2023
246887582.0,WC012,2024
71666278.0,WC013,2020
319385211.0,WC013,2021
100862635.0,WC013,2022
725597288.0,WC013,2023
727209564.0,WC013,2024
1406523638.0,WC014,2020
369227937.0,WC014,2021
705133681.0,WC014,2022
686913149.0,WC014,2023
794832450.0,WC014,2024
1643106498.0,WC015,2020
1076100809.0,WC015,2021
805404715.0,WC015,2022
1522940324.0,WC015,2023
1174730765.0,WC015,2024
-1903981.0,WC022,2020
606093647.0,WC022,2021
918218651.0,WC022,2022
622676774.0,WC022,2023
725323637.0,WC022,2024
66277495.0,WC023,2020
1402773085.0,WC023,2021
1614179796.0,WC023,2022
4326454632.0,WC023,2023
1196917341.0,WC023,2024
1510143354.0,WC024,2020
2817255346.0,WC024,2021
1668428953.0,WC024,2022
2702229287.0,WC024,2023
2094478548.0,WC024,2024
449524493.0,WC025,2020
-165431632.0,WC025,2021
112023653.0,WC025,2022
1261461460.0,WC025,2023
609639690.0,WC025,2024
185273838.0,WC026,2020
-130302195.0,WC026,2021
206969712.0,WC026,2022
306674040.0,WC026,2023
398326273.0,WC026,2024
-83492357.0,WC031,2020
45344693.0,WC031,2021
359893639.0,WC031,2022
437868977.0,WC031,2023
534484523.0,WC031,2024
4225381.0,WC032,2020
97667852.0,WC032,2021
374246608.0,WC032,2022
738407317.0,WC032,2024
-277972177.0,WC033,2020
73047608.0,WC033,2021
271382066.0,WC033,2022
87572141.0,WC033,2023
239817455.0,WC033,2024
125011393.0,WC034,2020
351646303.0,WC034,2021
402179371.0,WC034,2022
258134527.0,WC034,2023
179910801.0,WC034,2024
149305133.0,WC041,2021
171583061.0,WC041,2022
66763627.0,WC041,2024
257508766.0,WC042,2020
1422562468.0,WC042,2021
684742048.0,WC042,2022
830826677.0,WC042,2023
1048695589.0,WC042,2024
660381290.0,WC043,2020
1301428919.0,WC043,2021
1047298490.0,WC043,2022
1608735656.0,WC043,2023
1488837603.0,WC043,2024
3325938226.0,WC044,2020
3541403451.0,WC044,2021
4062132045.0,WC044,2022
4883766224.0,WC044,2023
7780584534.0,WC044,2024
989960351.0,WC045,2020
-934038832.0,WC045,2021
154060804.0,WC045,2022
-223156000.0,WC045,2023
54421495.0,WC045,2024
95003132.0,WC047,2020
153333475.0,WC047,2021
-332317641.0,WC047,2023
-795858986.0,WC047,2024
462595271.0,WC048,2020
-1394872897.0,WC048,2021
53909001.0,WC048,2022
175532830.0,WC048,2023
130192996.0,WC048,2024
747672.0,WC051,2020
-24109884.0,WC051,2021
68481559.0,WC051,2022
-12549239.0,WC051,2023
-56964.0,WC051,2024
48084272.0,WC052,2020
164051253.0,WC052,2021
208304438.0,WC052,2022
192427971.0,WC052,2023
219283872.0,WC052,2024
10763981.0,WC053,2020
196426935.0,WC053,2021
401383085.0,WC053,2022
2507291920.0,WC053,2023
3530293369.0,WC053,2024
