amount.sum,demarcation.code,financial_year_end.year,item.code,item.label
94759714.0,DC13,2019,irregular,Irregular Expenditure
0.0,DC13,2019,unauthorised,Unauthorised Expenditure
683798.0,DC13,2020,fruitless,Fruitless and Wasteful Expenditure
25196606.0,DC13,2020,irregular,Irregular Expenditure
135640341.0,DC13,2020,unauthorised,Unauthorised Expenditure
456109.0,DC13,2021,fruitless,Fruitless and Wasteful Expenditure
56504779.0,DC13,2021,irregular,Irregular Expenditure
392410627.0,DC13,2021,unauthorised,Unauthorised Expenditure
2842204.0,DC13,2022,fruitless,Fruitless and Wasteful Expenditure
59379140.0,DC13,2022,irregular,Irregular Expenditure
284172946.0,DC13,2022,unauthorised,Unauthorised Expenditure
491909.0,DC13,2023,fruitless,Fruitless and Wasteful Expenditure
171243231.0,DC13,2023,irregular,Irregular Expenditure
344076508.0,DC13,2023,unauthorised,Unauthorised Expenditure
2241445.0,DC13,2024,fruitless,Fruitless and Wasteful Expenditure
152467266.0,DC13,2024,irregular,Irregular Expenditure
98733378.0,DC13,2024,unauthorised,Unauthorised Expenditure
0.0,DC14,2019,fruitless,Fruitless and Wasteful Expenditure
9914506.0,DC14,2019,irregular,Irregular Expenditure
0.0,DC14,2019,unauthorised,Unauthorised Expenditure
625130.0,DC14,2020,fruitless,Fruitless and Wasteful Expenditure
126216963.0,DC14,2020,irregular,Irregular Expenditure
109309505.0,DC14,2020,unauthorised,Unauthorised Expenditure
0.0,DC14,2021,fruitless,Fruitless and Wasteful Expenditure
53067316.0,DC14,2021,irregular,Irregular Expenditure
0.0,DC14,2021,unauthorised,Unauthorised Expenditure
0.0,DC14,2022,fruitless,Fruitless and Wasteful Expenditure
15910470.0,DC14,2022,irregular,Irregular Expenditure
0.0,DC14,2022,unauthorised,Unauthorised Expenditure
14358.0,DC14,2023,fruitless,Fruitless and Wasteful Expenditure
43148228.0,DC14,2023,irregular,Irregular Expenditure
24013603.0,DC14,2023,unauthorised,Unauthorised Expenditure
0.0,DC14,2024,fruitless,Fruitless and Wasteful Expenditure
0.0,DC14,2024,irregular,Irregular Expenditure
0.0,DC14,2024,unauthorised,Unauthorised Expenditure
965486.0,DC15,2019,fruitless,Fruitless and Wasteful Expenditure
981044090.0,DC15,2019,irregular,Irregular Expenditure
14637683.0,DC15,2019,unauthorised,Unauthorised Expenditure
8989149.0,DC15,2020,fruitless,Fruitless and Wasteful Expenditure
696189593.0,DC15,2020,irregular,Irregular Expenditure
5140277.0,DC15,2020,unauthorised,Unauthorised Expenditure
8250849.0,DC15,2021,fruitless,Fruitless and Wasteful Expenditure
249859996.0,DC15,2021,irregular,Irregular Expenditure
1197150.0,DC15,2021,unauthorised,Unauthorised Expenditure
20666517.0,DC15,2022,fruitless,Fruitless and Wasteful Expenditure
124018617.0,DC15,2022,irregular,Irregular Expenditure
31851662.0,DC15,2022,unauthorised,Unauthorised Expenditure
14962260.0,DC15,2023,fruitless,Fruitless and Wasteful Expenditure
172448923.0,DC15,2023,irregular,Irregular Expenditure
71351915.0,DC15,2023,unauthorised,Unauthorised Expenditure
3741092.0,DC15,2024,fruitless,Fruitless and Wasteful Expenditure
181737992.0,DC15,2024,irregular,Irregular Expenditure
264984965.0,DC15,2024,unauthorised,Unauthorised Expenditure
341809.0,DC16,2019,fruitless,Fruitless and Wasteful Expenditure
2466957.0,DC16,2019,irregular,Irregular Expenditure
6175909.0,DC16,2019,unauthorised,Unauthorised Expenditure
188793.0,DC16,2020,fruitless,Fruitless and Wasteful Expenditure
4381556.0,DC16,2020,irregular,Irregular Expenditure
455404.0,DC16,2020,unauthorised,Unauthorised Expenditure
74813.0,DC16,2021,fruitless,Fruitless and Wasteful Expenditure
3697063.0,DC16,2021,irregular,Irregular Expenditure
1861390.0,DC16,2021,unauthorised,Unauthorised Expenditure
183988.0,DC16,2022,fruitless,Fruitless and Wasteful Expenditure
3636967.0,DC16,2022,irregular,Irregular Expenditure
6110077.0,DC16,2022,unauthorised,Unauthorised Expenditure
398286.0,DC16,2023,fruitless,Fruitless and Wasteful Expenditure
1295694.0,DC16,2023,irregular,Irregular Expenditure
6724033.0,DC16,2023,unauthorised,Unauthorised Expenditure
255704.0,DC16,2024,fruitless,Fruitless and Wasteful Expenditure
4168088.0,DC16,2024,irregular,Irregular Expenditure
12670102.0,DC16,2024,unauthorised,Unauthorised Expenditure
0.0,DC18,2019,fruitless,Fruitless and Wasteful Expenditure
583280.0,DC18,2019,irregular,Irregular Expenditure
0.0,DC18,2019,unauthorised,Unauthorised Expenditure
0.0,DC18,2020,fruitless,Fruitless and Wasteful Expenditure
1172612.0,DC18,2020,irregular,Irregular Expenditure
0.0,DC18,2020,unauthorised,Unauthorised Expenditure
0.0,DC18,2021,fruitless,Fruitless and Wasteful Expenditure
10868942.0,DC18,2021,irregular,Irregular Expenditure
2912252.0,DC18,2021,unauthorised,Unauthorised Expenditure
0.0,DC18,2022,fruitless,Fruitless and Wasteful Expenditure
5966166.0,DC18,2022,irregular,Irregular Expenditure
0.0,DC18,2022,unauthorised,Unauthorised Expenditure
0.0,DC18,2023,fruitless,Fruitless and Wasteful Expenditure
18693897.0,DC18,2023,irregular,Irregular Expenditure
0.0,DC18,2023,unauthorised,Unauthorised Expenditure
207336.0,DC18,2024,fruitless,Fruitless and Wasteful Expenditure
23855845.0,DC18,2024,irregular,Irregular Expenditure
812483.0,DC18,2024,unauthorised,Unauthorised Expenditure
105692.0,DC19,2019,fruitless,Fruitless and Wasteful Expenditure
17022948.0,DC19,2019,irregular,Irregular Expenditure
0.0,DC19,2019,unauthorised,Unauthorised Expenditure
49739.0,DC19,2020,fruitless,Fruitless and Wasteful Expenditure
24507042.0,DC19,2020,irregular,Irregular Expenditure
4267519.0,DC19,2020,unauthorised,Unauthorised Expenditure
3626.0,DC19,2021,fruitless,Fruitless and Wasteful Expenditure
16920949.0,DC19,2021,irregular,Irregular Expenditure
0.0,DC19,2021,unauthorised,Unauthorised Expenditure
0.0,DC19,2022,fruitless,Fruitless and Wasteful Expenditure
9791475.0,DC19,2022,irregular,Irregular Expenditure
0.0,DC19,2022,unauthorised,Unauthorised Expenditure
44652.0,DC19,2023,fruitless,Fruitless and Wasteful Expenditure
16090700.0,DC19,2023,irregular,Irregular Expenditure
1497133.0,DC19,2023,unauthorised,Unauthorised Expenditure
6177.0,DC19,2024,fruitless,Fruitless and Wasteful Expenditure
10158359.0,DC19,2024,irregular,Irregular Expenditure
1085589.0,DC19,2024,unauthorised,Unauthorised Expenditure
101633.0,DC2,2019,fruitless,Fruitless and Wasteful Expenditure
135013.0,DC2,2019,irregular,Irregular Expenditure
0.0,DC2,2019,unauthorised,Unauthorised Expenditure
0.0,DC2,2020,fruitless,Fruitless and Wasteful Expenditure
