,cash_months,overdue_pct,op_margin,uifw_pct,n
Clean,6.6849327940674454,61.55956127180974,0.932291700365481,0.7887394767496395,41
Unqualified (EoM),3.446452053628801,80.25049448379382,-8.85633580812428,11.775616849904093,98
Qualified,3.0268166757986066,84.1542678488649,-18.112288950895127,19.88074643796239,84
Adverse,2.7453621069692313,87.66928081000147,-28.358210195836104,31.2599803688207,5
Disclaimer,2.585883065957156,82.61555615037035,-35.05680632359911,27.78026608116679,10
